0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/css/mobile_main.css HTTP/1.1" 200 4753
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/css/banner.css HTTP/1.1" 200 10927
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/images/mobile_game_2.png HTTP/1.1" 200 181470
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/images/game_1.png HTTP/1.1" 200 81828
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/images/game_2.png HTTP/1.1" 200 207877
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/images/game_3.png HTTP/1.1" 200 163456
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/images/mobile_game_1.png HTTP/1.1" 200 231161
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/images/mobile_game_3.png HTTP/1.1" 200 208802
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/images/other_login_btn_1.png HTTP/1.1" 200 1398
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/images/other_login_btn_2.png HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/images/other_login_btn_3.png HTTP/1.1" 200 1043
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/images/other_login_btn_4.png HTTP/1.1" 200 891
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/images/footer_logo.PNG HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/images/prev_icon.png HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/images/next_icon.png HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/images/pause_icon.png HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:18 +0900] "GET /Nexon/index.jsp HTTP/1.1" 200 24487
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:18 +0900] "GET /Nexon/index.jsp HTTP/1.1" 200 24487
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:18 +0900] "GET /Nexon/index.jsp HTTP/1.1" 200 24487
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:20 +0900] "GET /Nexon/images/start_icon.png HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:21 +0900] "GET /Nexon/nexon.gd?type=loginForm HTTP/1.1" 200 12209
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:21 +0900] "GET /Nexon/css/login.css HTTP/1.1" 200 9348
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:21 +0900] "GET /Nexon/js/login.js HTTP/1.1" 200 3626
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:21 +0900] "GET /Nexon/images/facebook_btn.png HTTP/1.1" 200 4219
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:21 +0900] "GET /Nexon/images/naver_btn.PNG HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:21 +0900] "GET /Nexon/images/apple_btn.PNG HTTP/1.1" 200 3517
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:21 +0900] "GET /Nexon/images/google_btn.PNG HTTP/1.1" 200 4394
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:54 +0900] "GET /Nexon/nexon.gd?type=loginForm HTTP/1.1" 200 12209
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:56 +0900] "GET /Nexon/join/join.jsp HTTP/1.1" 200 2516
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:56 +0900] "GET /Nexon/images/join_logo.PNG HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:56 +0900] "GET /Nexon/css/join.css HTTP/1.1" 200 3274
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:56 +0900] "GET /Nexon/images/facebook_join.PNG HTTP/1.1" 200 3502
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:56 +0900] "GET /Nexon/images/email_join.PNG HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:56 +0900] "GET /Nexon/images/google_join.PNG HTTP/1.1" 200 3453
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:56 +0900] "GET /Nexon/images/naver_join.PNG HTTP/1.1" 200 3284
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:56 +0900] "GET /Nexon/images/apple_join.PNG HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:56 +0900] "GET /Nexon/images/join_way.PNG HTTP/1.1" 200 10319
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:58 +0900] "GET /Nexon/join/agree.jsp HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:58 +0900] "GET /Nexon/js/agree.js HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:58 +0900] "GET /Nexon/css/agree.css HTTP/1.1" 200 8315
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:59 +0900] "POST /Nexon/nexon.gd?type=joinForm HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:59 +0900] "GET /Nexon/css/register.css HTTP/1.1" 200 5034
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:59 +0900] "GET /Nexon/js/jquery.mousewheel.min.js HTTP/1.1" 200 2771
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:59 +0900] "GET /Nexon/js/register.js HTTP/1.1" 200 9232
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:41:09 +0900] "GET /Nexon/idCheckForm.jsp HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:41:27 +0900] "GET /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:41:27 +0900] "GET /Nexon/js/id_find.js HTTP/1.1" 200 8179
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:41:41 +0900] "GET /Nexon/join/register.jsp HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:41:44 +0900] "GET /Nexon/join/idCheckForm.jsp HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:41:44 +0900] "GET /Nexon/css/CheckForm.css HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:41:47 +0900] "POST /Nexon/join/idCheckProc.jsp HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:41:47 +0900] "GET /Nexon/css/CheckProc.css HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:41:52 +0900] "POST /Nexon/join/idCheckProc.jsp HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:44:46 +0900] "GET /Nexon/index.jsp HTTP/1.1" 200 24487
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:44:51 +0900] "GET /Nexon/nexon.gd?type=loginForm HTTP/1.1" 200 12209
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:44:53 +0900] "GET /Nexon/join/join.jsp HTTP/1.1" 200 2516
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:44:54 +0900] "GET /Nexon/join/agree.jsp HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:44:56 +0900] "POST /Nexon/nexon.gd?type=joinForm HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:45:01 +0900] "GET /Nexon/idCheckForm.jsp HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:45:27 +0900] "POST /Nexon/nexon.gd?type=joinForm HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:45:28 +0900] "GET /Nexon/idCheckForm.jsp HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:46:04 +0900] "GET /Nexon/idCheckForm.jsp HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:46:22 +0900] "POST /Nexon/nexon.gd?type=joinForm HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:46:23 +0900] "GET /Nexon/login/login.jsp HTTP/1.1" 200 12209
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:46:25 +0900] "GET /Nexon/join/join.jsp HTTP/1.1" 200 2516
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:46:26 +0900] "GET /Nexon/join/agree.jsp HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:46:28 +0900] "POST /Nexon/nexon.gd?type=joinForm HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:46:30 +0900] "GET /Nexon/idCheckForm.jsp HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:47:46 +0900] "GET /Nexon/join/join.jsp HTTP/1.1" 200 2516
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:47:47 +0900] "GET /Nexon/index.jsp HTTP/1.1" 200 24487
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:47:49 +0900] "GET /Nexon/index.jsp HTTP/1.1" 200 24487
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:47:50 +0900] "GET /Nexon/index.jsp HTTP/1.1" 200 24487
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:47:51 +0900] "GET /Nexon/nexon.gd?type=loginForm HTTP/1.1" 200 12209
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:47:52 +0900] "GET /Nexon/join/join.jsp HTTP/1.1" 200 2516
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:47:53 +0900] "GET /Nexon/join/agree.jsp HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:47:55 +0900] "POST /Nexon/nexon.gd?type=joinForm HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:47:57 +0900] "GET /Nexon/idCheckForm.jsp HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:48:55 +0900] "GET /Nexon/index.jsp HTTP/1.1" 200 24487
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:48:58 +0900] "GET /Nexon/join/join.jsp HTTP/1.1" 200 2516
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:48:58 +0900] "GET /Nexon/join/agree.jsp HTTP/1.1" 200 7544
